method,accuracy,accuracy_std,f1,f1_std,auc,auc_std,time_s,time_s_std,n_iter,n_iter_std
DCD_L1_perm,0.9275,0.0417,0.8557,0.1041,0.9608,0.0328,83.5872,111.0692,3205.7778,2177.2006
DCD_L1_perm_shrink,0.9275,0.0418,0.8563,0.1037,0.9605,0.0327,62.6533,101.1435,3238.3889,2187.5076
LinearSVC_L1,0.9276,0.0417,0.8571,0.1035,0.9605,0.0328,36.9539,60.1464,3263.1111,2200.4112
DCD_L1,0.9272,0.0415,0.8556,0.1025,0.9604,0.0327,53.4033,84.5906,3951.6111,1752.6157
DCD_L2_perm,0.9241,0.0415,0.844,0.1075,0.9602,0.0333,111.458,104.8426,4071.2778,1799.0297
LinearSVC_L2,0.9241,0.0413,0.8446,0.1065,0.96,0.0331,61.6209,68.8929,4077.0,1788.6907
DCD_L2_perm_shrink,0.9234,0.0419,0.843,0.1079,0.9596,0.0335,88.3113,101.8396,4079.2222,1785.0137
DCD_L1_shrink,0.9245,0.0423,0.8519,0.1036,0.9582,0.0331,43.6156,80.8618,4197.5556,1721.0575
DCD_L2,0.9168,0.0453,0.8147,0.1345,0.957,0.0367,62.2026,90.2346,4456.7222,1132.4141
DCD_L2_shrink,0.9179,0.0438,0.8282,0.1198,0.9568,0.0357,49.8825,83.4399,4345.5556,1310.7494
DCD_L2_online,0.8924,0.0779,0.7409,0.2544,0.9438,0.0669,0.8645,0.8308,5000.0,0.0
DCD_L1_online,0.8916,0.0751,0.7103,0.2879,0.9157,0.1292,0.9595,0.9737,5000.0,0.0
SVC_linear,0.7864,0.2157,0.7062,0.2387,0.8937,0.1437,114.5278,119.4614,4837.7778,385.932
