method,a9a,cod_rna,news20,rcv1,real-sim,skin
DCD_L1_perm,0.9013,0.9847,0.9948,0.9588,0.9821,0.943
DCD_L1_perm_shrink,0.9014,0.9848,0.9945,0.9573,0.9818,0.9432
LinearSVC_L1,0.9014,0.9848,0.9948,0.957,0.9818,0.9433
DCD_L1,0.901,0.9847,0.9948,0.9581,0.9806,0.9433
DCD_L2_perm,0.9029,0.9848,0.9947,0.962,0.9825,0.9343
LinearSVC_L2,0.9032,0.9847,0.9947,0.9605,0.9824,0.9347
DCD_L2_perm_shrink,0.903,0.9848,0.9945,0.9606,0.9824,0.9326
DCD_L1_shrink,0.899,0.9847,0.9948,0.9513,0.976,0.9433
DCD_L2,0.8967,0.9843,0.9948,0.9615,0.9813,0.9234
DCD_L2_shrink,0.8934,0.9845,0.9948,0.9559,0.9781,0.9342
DCD_L2_online,0.8517,0.9824,0.986,0.9818,0.9823,0.8787
DCD_L1_online,0.8371,0.9831,0.9851,0.9819,0.9832,0.7238
SVC_linear,0.6142,0.9651,0.9821,0.9529,0.981,0.8669
